cow_id,date,cbt_mean,thi_mean,milk_yield_kg,activity,rumination,hr,behavior_mode,health_status
T001,2024-07-01,38.69,74.3,35.24,7448,521.8,64.8,lying,healthy
T001,2024-07-02,38.63,57.6,36.07,9120,449.5,65.0,lying,healthy
T001,2024-07-03,38.56,73.9,30.77,8146,453.0,64.3,walking,healthy
T001,2024-07-04,38.78,65.6,36.05,8437,480.6,61.4,lying,healthy
T001,2024-07-05,38.71,71.3,26.3,8330,434.3,59.6,grazing,healthy
T001,2024-07-06,38.8,68.9,35.76,6747,447.4,72.2,lying,healthy
T001,2024-07-07,38.62,69.4,23.86,8480,489.4,63.5,standing,healthy
T001,2024-07-08,38.9,70.3,35.78,9221,529.3,66.3,standing,healthy
T001,2024-07-09,38.59,69.3,36.18,7436,496.3,60.9,grazing,healthy
T001,2024-07-10,38.45,71.3,33.12,6709,500.2,73.4,walking,healthy
T001,2024-07-11,38.95,67.9,38.83,4653,531.6,68.1,lying,healthy
T001,2024-07-12,38.68,71.6,31.88,7364,450.5,62.8,standing,healthy
T001,2024-07-13,38.94,64.8,29.53,9249,514.4,64.4,grazing,healthy
T001,2024-07-14,38.88,73.5,32.58,7656,526.4,66.0,lying,healthy
T001,2024-07-15,38.66,69.2,32.96,8065,494.6,59.0,standing,healthy
T001,2024-07-16,38.64,69.8,31.04,8338,432.1,61.9,grazing,healthy
T001,2024-07-17,39.1,60.3,31.67,8137,589.1,66.4,standing,healthy
T001,2024-07-18,38.83,69.4,31.76,9056,462.6,62.9,grazing,healthy
T001,2024-07-19,38.94,73.6,25.48,8821,579.5,61.6,standing,healthy
T001,2024-07-20,38.61,74.8,35.72,8070,490.1,71.4,standing,healthy
T001,2024-07-21,38.44,64.3,38.76,7040,491.6,72.4,grazing,healthy
T001,2024-07-22,38.44,73.5,43.22,7637,495.6,58.9,lying,healthy
T001,2024-07-23,39.05,70.1,33.13,8384,515.0,63.5,standing,healthy
T001,2024-07-24,38.81,68.9,35.6,8286,460.3,73.8,standing,healthy
T001,2024-07-25,39.08,64.1,35.33,9565,474.1,73.3,walking,healthy
T001,2024-07-26,38.85,64.5,32.45,6278,475.8,72.8,walking,healthy
T001,2024-07-27,38.69,68.0,38.33,7714,598.1,71.3,standing,healthy
T001,2024-07-28,38.54,68.2,31.17,7897,528.8,64.8,lying,healthy
T001,2024-07-29,38.94,66.2,35.64,8337,459.2,68.6,walking,healthy
T001,2024-07-30,38.85,68.9,28.15,9433,504.6,72.8,grazing,healthy
T002,2024-07-01,38.94,83.4,32.5,8900,521.1,72.9,grazing,healthy
T002,2024-07-02,38.52,62.0,30.67,6311,486.3,65.8,lying,healthy
T002,2024-07-03,38.98,61.6,27.81,8839,490.0,62.6,grazing,healthy
T002,2024-07-04,38.95,62.9,40.68,9820,535.4,74.0,grazing,healthy
T002,2024-07-05,38.3,68.8,26.95,8532,460.0,68.3,standing,healthy
T002,2024-07-06,38.62,74.6,28.43,7010,498.8,59.4,grazing,healthy
T002,2024-07-07,38.49,71.7,39.48,8766,434.5,66.1,lying,healthy
T002,2024-07-08,38.75,75.5,29.84,6211,442.4,68.4,lying,healthy
T002,2024-07-09,39.22,62.3,27.95,7593,538.2,60.4,lying,healthy
T002,2024-07-10,38.91,71.6,29.02,7503,510.4,69.8,walking,healthy
T002,2024-07-11,39.21,63.0,39.53,4886,482.4,72.6,grazing,healthy
T002,2024-07-12,38.69,68.8,33.91,6820,465.9,66.9,walking,healthy
T002,2024-07-13,39.03,69.2,33.59,8242,458.7,65.7,grazing,healthy
T002,2024-07-14,38.36,63.1,26.92,8934,542.1,66.4,grazing,healthy
T002,2024-07-15,39.14,68.1,33.0,7020,499.1,68.2,grazing,healthy
T002,2024-07-16,39.29,72.3,21.87,6843,529.9,61.8,grazing,healthy
T002,2024-07-17,38.97,70.5,29.87,6257,490.4,65.0,lying,healthy
T002,2024-07-18,38.73,71.2,32.69,9189,472.6,70.2,grazing,healthy
T002,2024-07-19,38.69,68.9,23.41,5594,462.6,67.7,grazing,healthy
T002,2024-07-20,38.3,74.3,28.57,7418,463.8,68.7,standing,healthy
T002,2024-07-21,38.89,64.7,32.27,9416,483.9,71.4,standing,healthy
T002,2024-07-22,38.72,69.8,30.24,8702,504.3,69.4,lying,healthy
T002,2024-07-23,39.17,71.8,39.62,6426,518.3,70.1,standing,healthy
T002,2024-07-24,38.78,71.9,23.39,8443,482.2,60.9,lying,healthy
T002,2024-07-25,38.62,68.6,31.47,9863,521.0,65.6,walking,healthy
